lat,lon
40.8968375,29.2249513
41.0260804,28.9797859
41.0288378,29.0174396
41.1141944,29.0599219
41.0001901,28.8007381
40.9989931,29.1549337
41.0550943,28.9992938
40.8055483,29.4960753
40.809658,29.5087582
41.0050371,29.0307907
41.05594,28.9977006
40.9876439,29.087031
41.0877238,29.0177524
41.0042734,28.6841172
40.8619926,29.3875044
40.8733759,29.4081536
40.9783258,29.1235487
40.9835054,29.0919078
41.2275004,28.4916451
40.8815155,29.2403352
40.8756773,29.2328762
40.8988275,29.3692152
40.9085841,29.3609713
40.8657172,29.3783242
41.0492898,29.0768296
40.9676174,29.1026273
40.9664225,29.1033193
40.966139,29.1047838
41.0370814,29.1556729
40.9961049,28.6252197
40.8358408,29.323905
40.8015784,29.5263931
40.8992467,29.5220969
40.8878295,29.7699498
41.1351115,28.4656276
41.1579646,28.4545528
41.1580163,28.4540224
41.0156405,29.074591
41.0167626,29.0760902
41.041378,28.832275
40.8868524,29.2399111
40.9879309,28.7960684
40.9994399,28.7135734
40.97084,29.083573
41.0880723,29.3438026
41.0080248,28.8816979
40.9897124,28.6651997
41.0947275,29.0975854
41.0799651,29.0708251
41.081143,29.0770445
41.0446779,28.9783544
41.1175416,29.0234658
40.937381,29.1410698
41.0601831,28.6884886
41.0600444,28.6880999
41.0501819,29.0237229
41.062944,28.9508759
41.0800851,28.7940823
40.893878,29.3550994
41.101313,29.2901302
41.0920655,29.2878451
41.0085765,29.2016649
41.0337252,28.9758177
40.8811477,29.2553456
41.0079948,28.5374571
40.8892845,29.1811831
40.9612,29.282842
40.9093711,29.2951636
41.080441,28.652694
41.0292155,28.8065018
41.0112488,29.0752818
40.9877235,28.883948
41.041235,28.967225
40.9076681,29.3433329
40.9930848,28.8272163
41.0547206,28.8405747
41.0225022,29.1159204
41.0582146,28.7307071
41.023118,28.686603
40.9053415,29.2853766
41.00829,29.02304
40.881089,29.2323267
40.891269,29.17731
40.99775,28.6052587
41.0490769,28.8768088
41.0477,28.859748
40.989872,28.668452
41.0115506,28.828365
40.912108,29.191968
41.006514,28.6676766
41.131936,28.826931
40.9067741,29.2527557
40.8712321,29.3819844
41.032443,28.883817
40.9426842,29.1438714
41.060352,28.78946
41.109934,29.310702
40.804895,29.367133
41.0601373,28.8410873
41.048424,28.984989
41.0079553,29.2016636
40.8051175,29.4334382
40.982402,29.106104
41.183317,28.597697
40.9015949,29.2470027
41.05038,28.62848
40.895696,29.2490574
40.866335,29.3348073
41.094793,29.090877
40.871794,29.371641
40.8374032,29.2960611
40.807421,29.505688
40.9681282,29.2531294
40.9104,29.211534
40.98387,29.165959
40.859498,29.2815455
40.987731,29.143805
41.050131,28.812081
41.019717,28.9088162
41.205103,28.728262
41.031458,29.079681
41.0554191,28.6719297
40.883978,29.349287
40.9266858,29.3175598
41.008467,29.2159064
41.064034,28.621961
40.891373,29.233194
41.028799,28.790782
41.007237,29.244293
41.156979,29.628344
40.9776,29.2206066
40.990082,29.263793
41.0179351,28.6462917
41.0353809,28.4457793
40.8865592,29.2418964
41.009864,29.012243
40.885945,29.286563
41.0275113,28.8574214
40.9240928,29.151085
40.9377236,29.138014
40.9388796,29.1361722
40.9397682,29.1332185
40.9202486,29.1476072
40.9111444,29.1953199
40.9089065,29.2027174
40.902499,29.2174843
40.8943224,29.2284918
40.904372,29.2786929
40.9079618,29.2933732
40.914902,29.303618
41.1327928,28.4703103
40.8940497,29.1988693
40.856096,29.2912778
40.824074,29.3519893
40.8171858,29.3625531
41.0521545,29.2397197
41.0657131,29.0022542
41.223032,28.4551489
40.8234864,29.4325764
40.9264845,29.3156064
40.9650131,29.2720354
40.9748828,29.2406807
40.899134,29.2686629
40.9816359,28.8908742
40.9144783,29.140873
40.9086602,29.358626
41.0071529,29.1882859
41.0414243,28.9796462
41.0405187,28.9673371
41.0416582,28.9664429
41.0381426,28.9680383
41.0384552,28.9734829
41.0388062,28.9726479
41.0398116,28.9775232
41.0118047,28.8178457
41.0154366,28.8243738
41.0138923,28.8259069
41.0334125,28.8513955
41.0367739,28.852891
41.0420795,28.8510572
41.0127401,28.9006253
40.9936173,28.7095758
41.019443,28.6768201
41.0548455,28.8759011
41.002535,28.7874784
41.0345575,28.8333113
41.0399047,28.833644
41.045908,28.8298889
41.0567651,28.830478
41.058061,28.830917
41.0588357,28.8311038
41.059952,28.8314074
41.0599766,28.8321172
40.9950934,28.8950522
41.1859346,28.7392703
41.0679112,28.8110015
41.0612495,29.0012598
41.027129,28.8568809
41.0569121,28.951107
41.0852259,28.9781424
41.0099945,28.7944248
41.0293707,28.795751
40.9916607,28.8380623
40.9853444,28.785827
41.0313261,28.8229913
41.033828,28.6801411
41.0598337,28.6251746
41.0408294,28.6259466
41.0370171,28.6247136
41.0270519,28.6266991
40.9881116,28.8842153
40.8504251,29.4068927
40.8569379,29.3977989
40.8622103,29.3885162
40.8634323,29.3909564
40.8826491,29.4158287
40.8855778,29.41396
40.903528,29.3945702
40.899745,29.3511643
40.8986284,29.2596818
40.8975594,29.2541411
40.8903882,29.2360378
40.896725,29.2226562
40.9134792,29.1515461
40.9164725,29.1466453
40.8751897,29.2543039
40.8006369,29.3879794
40.808046,29.3782627
40.8118859,29.3732478
40.8177071,29.3668386
40.8099221,29.3699652
41.0437708,29.2791974
41.0133611,28.7874587
40.9920052,28.8332033
41.0321189,28.8002098
41.0216485,28.6875944
41.0134315,28.695405
40.9234235,29.151039
40.9504382,29.1627223
40.9667645,29.2156254
40.9664324,29.2164926
40.9695598,29.2201602
40.9806034,29.2202745
40.986969,29.2261047
40.9927015,29.2231235
41.0038954,29.2168851
41.0097306,29.210874
41.0103626,29.2103946
41.0125502,29.2073884
41.0136153,29.1912113
41.0165644,29.1777204
41.0181927,29.171658
40.9293369,29.1295388
41.0274482,28.8475262
41.0285322,28.846468
41.0417944,28.8497953
41.0540287,28.8335832
41.0131146,28.8468078
41.0098412,28.8310577
41.0080791,28.7949318
41.0443621,28.7820226
41.0164313,28.9492848
41.1674095,29.5420488
41.0614084,29.0110721
41.0283367,28.878253
41.0165067,29.0302075
41.0047684,29.0353401
40.98367,28.6439262
40.9893865,28.6188569
41.0306299,28.6625701
41.0316929,28.6575073
40.9887409,28.6676454
41.0478767,28.9685879
41.0423654,28.676434
41.0177752,28.9509568
41.0286169,28.9369637
41.0070444,28.9368651
41.0297906,28.939052
41.0072114,28.9284307
41.0502394,28.859229
41.0522075,28.8581586
41.0540279,28.8544678
41.0568105,28.7280349
41.1366543,28.8170534
40.9717653,29.2485139
40.967791,29.2699856
40.9697013,29.2659915
40.9406294,29.2852556
40.9605351,29.2916233
40.8792929,29.2204988
40.9902534,29.1758465
41.0151886,28.968297
41.0017886,28.9725372
40.9939415,28.8945802
41.176591,28.8902738
40.9573939,29.0976751
40.8843453,29.2359312
40.9382947,29.1408662
40.981511,29.0686312
41.027751,28.9084234
41.007132,29.1903445
40.8908871,29.2632647
40.890674,29.2342555
40.9168959,29.195766
40.8875592,29.1917101
40.9905592,29.0767874
40.9899507,29.0820974
40.9980508,29.0915291
40.9424888,29.3020362
40.9727059,29.2622919
40.9643618,29.2742466
41.0751507,28.9696221
41.0811679,28.9865705
40.9422553,29.30125
41.0231146,29.1079509
41.0020489,29.1636539
40.8554842,29.3678858
41.0080712,28.8970539
41.0245829,28.8064335
41.044584,28.8207294
41.0448318,28.8169805
41.0018496,29.1643045
40.971905,29.2491636
40.9458545,29.1274403
41.0642078,28.9822451
41.0855779,28.9685793
41.1732022,29.054004
40.9909695,28.8708226
41.0173023,28.8904511
41.0154297,29.2437366
41.0269115,29.2397661
41.0396942,29.2345379
41.1528607,28.7875335
41.0449926,28.8230339
41.0079027,29.1808357
41.0227995,29.1096406
41.0221955,29.1126822
41.0437082,28.9479541
40.9643673,29.281366
40.9711613,29.2575172
40.9694406,29.2571926
40.9419343,29.30161
40.948057,29.2996747
40.9825628,29.2667627
40.951119,29.2976145
40.9638346,29.2844653
40.8594511,29.3772812
40.8093883,29.4603929
41.1721549,28.5026895
41.1510071,28.4527997
41.2512907,28.4924105
40.9814332,29.0811831
41.0910958,28.3282396
41.0948838,28.3719064
41.096003,28.3741293
41.020533,28.9066419
40.9821539,28.8937035
41.0562669,28.8526468
41.0285248,28.8464788
41.032617,28.8341154
41.0283367,28.856824
41.0795924,29.1425113
41.1216431,29.1462166
41.1365841,28.6230491
41.1234795,28.6248907
41.1525006,28.6170195
41.1173181,28.6282691
41.1174784,28.629389
41.0222354,28.7011184
41.0250023,28.6592596
41.0047978,28.8923178
41.0049447,28.8920028
41.0834384,28.9487993
41.1972545,28.4455672
41.0298186,28.8635582
40.96645,29.103328
40.9670745,29.104211
40.8811717,29.3451289
40.8198134,29.4150015
40.8248611,29.4138981
40.8145536,29.4174109
40.8132967,29.4388288
40.8108797,29.4553802
41.0225451,29.0753284
41.1245795,29.4808701
41.1123996,29.0407526
40.8390872,29.2954604
41.0336295,28.8074676
41.1582212,28.6135003
40.9279097,29.1329757
41.1177047,29.0644015
41.3905203,28.4514292
41.0322908,29.1736573
41.1813769,28.7448117
41.1819955,28.7429251
40.8773356,29.420393
41.0598711,28.6992785
41.0972265,28.9046329
41.078851,29.0029586
40.8033316,29.527646
40.9105568,29.2161373
41.0265141,28.4656456
41.0248356,29.2256803
40.8999268,29.2199557
41.0578137,28.7127623
41.0801433,28.2088456
41.0809351,28.2055117
40.9567108,29.2138795
40.9894463,29.0421754
40.886222,29.236328
41.1511698,28.7877841
40.9110485,29.1818113
41.1039881,28.8619681
41.0948562,28.8632641
41.0917254,28.8645145
40.8652979,29.379763
41.0955329,28.7908182
41.0498134,28.3909638
41.0143136,28.8321043
41.236291,28.9051683
41.0145892,29.0756042
40.9894307,29.1953675
41.1073107,28.2217768
41.1037347,28.2194058
41.0716227,28.9798973
41.0319161,28.9058591
41.0319758,28.9055397
41.0283233,28.9168122
41.0078954,29.1928866
40.9274927,29.3469241
40.9288418,29.4395912
41.0144577,29.1904016
40.9936151,29.1889906
41.026754,29.2427586
41.018544,29.0845768
41.0603468,28.6987055
40.8146571,29.374001
40.993182,28.6303116
41.0048016,28.6376236
40.9894325,28.6573616
41.0306413,28.6825978
41.0120959,28.6818702
40.9775719,29.0971615
41.0275668,29.026192
40.9393933,29.3172635
41.0489227,29.0545563
41.0015329,29.0780713
40.9816004,29.2215046
40.9176914,29.1440382
40.9364775,29.6629014
41.0863729,29.1364115
40.8197439,29.4445917
41.2236389,28.4551746
41.1045077,28.4248468
40.8806693,29.255162
40.8731683,29.2652568
40.8736907,29.26607
41.0243095,28.6235887
41.01835,28.632575
41.0023361,28.8860995
41.0378019,28.4372572
41.0402471,28.4284738
41.0643318,28.3207631
41.0649785,28.3209172
41.063846,28.322914
40.931674,29.3389549
41.0009743,28.8226446
41.1791462,28.703004
41.1505849,28.233321
41.0704898,28.902302
41.0274062,28.8125769
41.0178124,28.4830719
40.871259,29.3314775
40.9950191,28.7052039
41.0769052,28.2464107
41.0799552,28.2069482
41.0425372,28.8466338
41.0143393,28.6469932
40.8603752,29.3863957
40.9183976,29.3514665
40.844676,29.3058965
40.8760027,29.2630048
40.8800399,29.2594429
41.0095046,28.523367
41.0103957,28.5316044
41.0126432,28.53724
41.0125326,28.5413531
41.0145481,28.5461599
41.013994,28.5473981
41.0170614,28.557399
41.0172978,28.5622313
41.0185701,28.5639545
41.0196623,28.5636778
41.02096,28.5631501
41.0258567,28.5565171
40.8130443,29.3684457
40.814681,29.3721052
40.8225544,29.4151031
40.8365985,29.4060533
40.8194752,29.3062437
40.9358432,29.3611401
40.9405618,29.3698716
40.9426442,29.373383
40.9283857,29.4360139
40.9445864,29.3880242
40.9350119,29.3288072
41.0819117,28.2184142
41.0814435,28.220857
41.0745974,28.2617667
41.0723206,28.2740187
41.0718014,28.2769366
41.0709492,28.2767925
41.0705065,28.2788449
41.0696818,28.2926283
41.1278316,29.0961848
41.1305879,29.0935792
41.0221984,29.0429366
41.0230199,29.0430475
41.0237064,29.041962
41.0241529,29.0548718
41.023903,29.0815897
41.0029931,29.0362236
41.0031836,29.0341387
